Togo,2010,NUMBER,12.38
Togo,2013,NUMBER,10.94326
Tajikistan,2010,NUMBER,12.21
Tajikistan,2013,NUMBER,10.23413
Tonga,2010,NUMBER,13.45
Tonga,2013,NUMBER,13.29244
Turkey,2010,NUMBER,0.28
Turkey,2013,NUMBER,0.27091
Tuvalu,2014,NUMBER,0.18122
Uganda,2010,NUMBER,3.77
Uganda,2013,NUMBER,3.91709
St. Vincent and the Grenadines,2010,NUMBER,0.91
St. Vincent and the Grenadines,2013,NUMBER,0.9143
Vanuatu,2010,NUMBER,16.27
Vanuatu,2013,NUMBER,15.42947
Samoa,2010,NUMBER,1.64
Samoa,2013,NUMBER,1.57586
Yemen,2010,NUMBER,4.82
Yemen,2013,NUMBER,4.74856
South Africa,2010,NUMBER,0.58
South Africa,2013,NUMBER,0.5476
Zambia,2010,NUMBER,9.25
Zambia,2013,NUMBER,8.32953
Zimbabwe,2010,NUMBER,10.59
Zimbabwe,2013,NUMBER,9.40659
